OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1,Central Air-Conditioning System,2000,4,1,8,11,8,6,6930.981445,163.6389771,359.0087585,0,1545.972046,1410.595947,2.4633908,2.148924732,11,0.0658297,0.0183813,76.463356,1,20757,1,1761,98.95658499,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
3,Individual Air-Conditioning System,1967,,,,,,,412.5098877,93.6783676,79.2928009,20.7061062,197.7656097,1434.337036,4.0661621,2.542894266,1,0.0499069,0.0662983,71.4453583,1,5477,1,572,428.2364693,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
4,Central Air-Conditioning System,1972,3,0,8,11,8,5,412.5098877,93.6783676,79.2928009,20.7061062,197.7656097,1434.337036,4.0661621,2.542894266,1,0.0499069,0.0662983,71.4453583,1,5477,1,572,428.2364693,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
5,,,,,,,,,154.8364105,77.1285248,0,0,625.3200684,1434.337036,3.2888982,2.507078853,1,0.0348903,-0.002453,88.218895,1,725,1,149,340.9623997,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
6,,,,,,,,,886.2542725,250.8768311,113.7350388,0,426.0014648,1437.259033,4.0661621,2.507078853,1,0.0352008,0.0901961,47.2424011,1,1329,1,1002,297.5022407,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
7,,,,,,,,,490.2987976,0,0,0,1630.507568,1434.337036,2.6225641,2.507078853,1,0.0871795,0.038791,110.3713303,1,245,1,165,358.4694743,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
8,Central Air-Conditioning System,1996,,,9,10,9,4,470.587738,18.7387085,93.5455399,0,1236.077393,1434.337036,4.0661621,2.542894266,41,0.0316742,0.02753,4.1584072,0,0,0,0,452.2198651,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
9,Individual Air-Conditioning System,,,,,,,,980.9956665,75.3121033,84.7542801,0,336.317688,1437.259033,4.0661621,2.507078853,1,-0.0138312,0.0997475,80.3424988,1,2710,1,333,319.1809511,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
11,Individual Air-Conditioning System,,,,,,,,911.7264404,19.5851097,238.9912872,86.6017685,272.740448,1434.337036,4.0661621,2.542894266,1,0.0316742,0.02753,9.9947634,1,5477,0,0,464.8911481,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
12,Individual Air-Conditioning System,,,,,,,,1123.643921,88.9090881,131.7993774,0,155.4886627,1442.371948,4.653935,2.507078853,1,0.0477299,0.0764495,78.5820999,1,11440,1,227,370.4194558,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
13,Individual Air-Conditioning System,,,,,,,,1074.888062,140.5500946,152.3417664,0,874.944397,1437.259033,4.0661621,2.507078853,1,0.0189567,-0.0218688,9.182394,1,1483,0,0,357.7967776,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
14,,,,,,,,,482.7485352,9.7129269,84.401741,0,1423.724487,1434.337036,4.0661621,2.507078853,1,0.0309967,0.1182708,73.4341202,1,297,1,145,462.6868072,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
17,Central Air-Conditioning System,1984,12,1,8.5,9.5,8.5,4.5,1243.164307,175.0349579,7273.230469,94.4758911,1036.590576,1437.259033,4.5090475,2.507078853,11,0.0164119,0.0282644,150.4527283,1,3058,1,1013,348.1534021,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
18,,,,,,,,,113.171875,33.2887192,102.722641,0,286.5722961,1429.95398,3.1627157,2.507078853,41,0.1213018,0.0676507,30.2620144,0,0,0,0,101.6665274,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
19,,,,,,,,,886.2542725,250.8768311,113.7350388,0,426.0014648,1437.259033,4.0661621,2.507078853,1,0.0352008,0.0901961,47.2424011,1,1329,1,1002,297.5022407,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
20,,,,,,,,,312.7463379,75.2623367,4.2309155,0,547.0452881,1442.371948,4.653935,2.507078853,41,-0.0765743,0.0453125,23.1900673,1,234,1,107,370.7498011,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
21,,,,,,,,,1256.733398,205.4256439,5466.557129,55.3290291,877.5084839,1437.259033,4.5090475,2.507078853,1,0.0283401,0.0472795,24.0611744,1,3058,1,290,338.6951172,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
23,Central Air-Conditioning System,1994,2,1,8,11,8,5,720.2034912,43.5591316,110.4712219,0,704.3322754,1436.162964,3.7722988,2.507078853,1,0.0078329,0.0631068,18.3691483,1,7343,0,0,364.3450018,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
24,Central Air-Conditioning System,1992,3,1,9,9,9,4,1407.497315,91.962883,295.0891724,0,878.7015991,1437.259033,4.5090475,2.507078853,11,0.0056491,0.0802568,91.2911224,1,656,1,636,281.3767553,,NO,YES,NO,NO,YES,2018,9/23/2021,retro_after,22,1,261,yes,,,
25,,,,,,,,,2674.44458,118.8171768,1454.873779,0,1534.977417,1474.880005,3.1064808,2.471263441,1,0.0415697,-0.0044901,101.7638397,1,1746,1,277,3636.259675,,NO,YES,NO,NO,NO,2015,9/13/2017,retro_after,28,0,168,yes,yes,,
26,Central Air-Conditioning System,1991,6,3,,,,,281.6315002,80.5165405,1433.846802,0,343.1013184,1475.244995,4.8533645,2.328001792,21,0.1056953,0.1338436,119.8865738,1,6562,1,2588,3923.117931,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
28,,,,,,,,,179.911026,0,187.7784729,0,263.396637,1475.609985,2.947607,2.435448029,11,0.0702563,0.0119169,45.5145836,1,354,1,100,3637.078054,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
