ID,bld_eui2,log10_eui,BH,FoC_v,retro,BS,Basement,Year,highrise,area_upper,podium,area_podium,CDH,GHI,wind_speed_10m,landuse,food,retail,parking,office,hotel,Dist_mtr,CLABEL,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_start_weekend,Operate_hours_weekend,Operate_hours,BH,bld_submis
0,1.36,0.133538908,37.538166,,NONE,5,0,1973,1,114,1,611,2.5070801,1408.77002,3.10741,1,561.5900269,505.0270081,55.0073013,0,76.7320023,291.4494925,上環站,,,,,,,,,37.538166,2013
1,1.66,0.220108088,39.3094444,,NONE,13,0,1974,1,330,1,1478,2.7219701,1430.319946,2.2980399,1,176.6060028,1166.890015,265.4190063,0,0,465.0432887,太子站,,,,,,,,,39.3094444,2014
2,1.68,0.225309282,4.4451461,,NONE,45,0,2006,0,0,0,0,2.6145301,1432.51001,2.5674801,1,141.6109924,0,0.116225,60.2112007,0,697.9656154,荃灣西站,,,,,,,,,4.4451461,2014
3,2.54,0.404833717,161.8319702,,NONE,36,0,2008,1,457,1,41446,2.5070801,1374.069946,2.09989,1,54.5209999,220.6320038,88.6544037,0,0,167.1112744,火炭站,,,,,,,,,161.8319702,2013
4,2.67,0.426511261,75.5048294,,NONE,21,0,1975,1,208,1,1124,2.6861601,1411.329956,2.4356401,1,709.9619751,1461.73999,36.0606995,327.7369995,0,516.3231067,灣仔站,,,,,,,,,75.5048294,2015
5,2.69,0.42975228,30.5117054,,NONE,7,0,1979,1,169,1,371,2.9010501,1451.140015,2.50368,1,358.381012,592.5289917,0,0,88.9723969,228.546461,朗屏站,,,,,,,,,30.5117054,2015
6,2.73,0.436162647,75.4010925,,NONE,36,0,2003,0,0,1,12073,2.6145301,1373.339966,1.52439,2,74.4779968,228.3690033,96.8403015,0,0,619.2767122,彩虹站,,,,,,,,,75.4010925,2015
7,3.24,0.51054501,35.9630127,,NONE,14,0,1975,1,835,1,896,2.7219701,1431.420044,2.6526301,1,1673.579956,675.867981,242.4869995,163.4579926,0,381.4489007,奧運站,,,,,,,,,35.9630127,2017
8,4.06,0.608526034,44.8879128,,NONE,6,0,1966,1,66,1,536,2.4712601,1405.479981,2.9142699,11,2990.689941,2360.889893,53.0517006,1341.949951,0,272.6471373,中環站,Individual Air-Conditioning System,0,0,,,,,,44.8879128,2016
9,4.21,0.624282096,48.0142975,,NONE,14,0,1975,1,917,1,496,2.7219701,1431.420044,2.6526301,1,1683.459961,849.9860229,284.1700134,165.9589996,0,393.6015377,奧運站,,,,,,,,,48.0142975,2017
10,4.28,0.631443769,48.9499969,,NONE,14,0,1975,1,241,1,1957,2.4712601,1408.77002,2.9142699,11,1943.420044,1186.180054,0,111.4049988,0,327.7299948,中環站,Individual Air-Conditioning System,,,,,,,,48.9499969,2013
11,5.75,0.759667845,106.0626068,,NONE,31,0,1985,1,592,1,1158,2.4712601,1404.390015,2.3930099,1,152.6940002,93.4847031,79.490303,0,0,478.3766824,上環站,,,,,,,,,106.0626068,2015
