bld_eui2,log10_eui,highrise,area_upper,podium,area_podium,BH,BS,Year,food,retail,parking,office,hotel,CDH,GHI,wind_speed_10m,ndvi,landuse,Dist_mtr,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_hours,retro
1.36,0.133538908,1,114,1,611,37.538166,5,1973,561.5900269,505.0270081,55.0073013,0,76.7320023,2.5070801,1408.77002,3.10741,0.0033963,1,291.4494925,,,,,,,NONE
1.66,0.220108088,1,330,1,1478,39.3094444,13,1974,176.6060028,1166.890015,265.4190063,0,0,2.7219701,1430.319946,2.2980399,0.0380556,1,465.0432887,,,,,,,NONE
1.68,0.225309282,0,0,0,0,4.4451461,45,2006,141.6109924,0,0.116225,60.2112007,0,2.6145301,1432.51001,2.5674801,0.1061115,1,697.9656154,,,,,,,NONE
2.54,0.404833717,1,457,1,41446,161.8319702,36,2008,54.5209999,220.6320038,88.6544037,0,0,2.5070801,1374.069946,2.09989,0.0520511,1,167.1112744,,,,,,,NONE
2.67,0.426511261,1,208,1,1124,75.5048294,21,1975,709.9619751,1461.73999,36.0606995,327.7369995,0,2.6861601,1411.329956,2.4356401,0.0006129,1,516.3231067,,,,,,,NONE
2.69,0.42975228,1,169,1,371,30.5117054,7,1979,358.381012,592.5289917,0,0,88.9723969,2.9010501,1451.140015,2.50368,0.1034584,1,228.546461,,,,,,,NONE
2.73,0.436162647,0,0,1,12073,75.4010925,36,2003,74.4779968,228.3690033,96.8403015,0,0,2.6145301,1373.339966,1.52439,0.1438314,2,619.2767122,,,,,,,NONE
3.24,0.51054501,1,835,1,896,35.9630127,14,1975,1673.579956,675.867981,242.4869995,163.4579926,0,2.7219701,1431.420044,2.6526301,0.0206275,1,381.4489007,,,,,,,NONE
4.06,0.608526034,1,66,1,536,44.8879128,6,1966,2990.689941,2360.889893,53.0517006,1341.949951,0,2.4712601,1405.479981,2.9142699,0.0275989,11,272.6471373,Individual Air-Conditioning System,0,0,,,,NONE
4.21,0.624282096,1,917,1,496,48.0142975,14,1975,1683.459961,849.9860229,284.1700134,165.9589996,0,2.7219701,1431.420044,2.6526301,0.0474497,1,393.6015377,,,,,,,NONE
4.28,0.631443769,1,241,1,1957,48.9499969,14,1975,1943.420044,1186.180054,0,111.4049988,0,2.4712601,1408.77002,2.9142699,0.0387946,11,327.7299948,Individual Air-Conditioning System,,,,,,NONE
5.75,0.759667845,1,592,1,1158,106.0626068,31,1985,152.6940002,93.4847031,79.490303,0,0,2.4712601,1404.390015,2.3930099,0.1244798,1,478.3766824,,,,,,,NONE
5.86,0.767897616,0,0,1,3212,14.5421009,2,1984,80.2947998,62.3428001,79.5446014,90.9064026,0,2.4712601,1380.650024,2.13043,0.1006734,1,353.8436762,,,,,,,NONE
6.01,0.778874472,1,499,1,12923,147.3010101,29,1980,0,0,92.696701,0,0,2.5070801,1421.920044,2.7091601,0.2059963,1,1262.336449,,,,,,,NONE
6.32,0.800717078,1,60,1,3035,20.0819759,7,1976,2615.01001,3785.610107,0,1489.900024,0,2.4712601,1410.959961,2.9142699,-0.0455726,41,151.1386499,,,,,,,NONE
6.48,0.811575006,1,290,1,2956,51.0602646,15,1978,1558.160034,963.4470215,0,1419.880005,0,2.5070801,1424.839966,2.6457801,0.0247954,11,76.99021675,Individual Air-Conditioning System,3,0,,,,NONE
6.59,0.818885415,1,173,1,120,21.8335247,21,1987,251.3419952,252.4799957,0,512.8759766,0.940699,2.5070801,1425.569946,3.9737401,0.1029685,11,371.8677059,Individual Air-Conditioning System,,,,,,NONE
6.76,0.829946696,1,661,1,3292,76.9872131,23,1971,863.8359985,2594.090088,65.5003967,2254.540039,0,2.7219701,1429.589966,2.9174199,0.022021,11,253.1487589,,,,,,,retro_after
6.78,0.831229694,1,211,1,1113,98.6821213,26,2012,281.3439941,958.0629883,68.4421997,55.0153008,0,2.6145301,1424.839966,2.1138,0.0661041,1,291.7159759,,,,,,,NONE
6.8,0.832508913,1,48,1,1250,28.9443626,5,1978,903.4329834,1907.829956,91.7241974,182.3739929,0,2.5070801,1418.630005,3.10741,-0.0044465,41,188.329264,Individual Air-Conditioning System,3,1,8,10,56,NONE
6.94,0.84135947,1,193,1,354,64.9132538,25,1985,970.4329834,418.4500122,145.4340057,1633.25,91.4213028,2.6503401,1413.52002,3.0628901,0.0445269,1,218.8415691,,,,,,,retro_after
6.96,0.84260924,1,836,1,3087,63.2021866,13,1973,739.6079712,1658.130005,48.7801018,42.6769981,0,2.6145301,1406.579956,3.84917,0.0105732,1,264.8068119,Individual Air-Conditioning System,2,1,0,24,144,NONE
7.3,0.86332286,1,224,1,2801,60.8197594,26,1979,136.1340027,158.697998,0,30.2122002,0,2.5070801,1443.829956,4.6539302,-0.037886,1,389.0941107,,,,,,,NONE
7.36,0.866877814,1,328,1,787,143.3902283,26,1978,1942.319946,1150.880005,78.5348969,0,0,2.6145301,1384.300049,1.42228,0.0831798,1,706.4086946,,,,,,,NONE
7.49,0.874481818,0,0,0,0,5.73948,2,2002,392.0169983,387.8469849,195.548996,0,0,2.3638201,1375.530029,2.5702701,0.1493343,1,402.2419206,,,,,,,retro_after
7.67,0.884795364,1,485,1,1563,45.7372131,13,1975,434.3340149,1974.25,0,1127.290039,0,2.6145301,1425.939941,2.4138801,0.0551325,11,38.58815486,,,,,,,retro_after
7.84,0.894316063,1,253,1,234,25.7144527,7,1993,1214.719971,1528.109985,0,67.2032013,0,2.6145301,1414.609985,2.3836701,0.0596046,1,1080.329992,,,,,,,NONE
7.88,0.896526217,0,0,1,3315,14.5394583,17,1959,415.8890076,1603.380005,180.6499939,0,1726.839966,2.7577901,1415.709961,2.8955801,0.0193533,1,92.44207129,,,,,,,NONE
7.99,0.902546779,0,0,1,685,24.0030708,26,1978,358.7820129,1335.76001,41.1186981,984.848999,0,2.6145301,1400.369995,3.6013601,0.050927,1,149.0612289,,,,,,,NONE
8.06,0.906335042,1,635,1,559,51.0771561,13,1960,1451,515.8859863,60.4919014,27.5282993,62.8562012,2.7936001,1421.550049,2.4129,0.0651482,1,415.4354734,,,,,,,NONE
8.13,0.910090546,0,0,1,1438,15.1247396,24,1979,4165.459961,902.8969727,0,276.3120117,0,2.7577901,1429.589966,2.9174199,0.0593039,1,389.8988098,,,,,,,NONE
8.23,0.915399835,1,573,1,485,51.422142,7,1986,210.0829926,0,90.9141006,0,0,2.8294201,1413.52002,2.7958701,0.0400575,11,351.478763,,,,,,,NONE
